# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
2.894536159027413191e+02 2.875054249910413261e-03 -3.322121145619292511e+05
2.904982539522475236e+02 -4.121187804401784879e-03 -3.322121215581712895e+05
2.915301851908365620e+02 7.633387049039205147e-03 -3.322121098035964533e+05
2.925296489854063680e+02 -1.511768539353172290e-03 -3.322121189487520605e+05
2.935434835524786195e+02 3.965533915020170996e-03 -3.322121134714495856e+05
2.944751741536458098e+02 -3.690799077351888165e-03 -3.322121211277825641e+05
2.954482252003691087e+02 -2.711918554645525916e-03 -3.322121201489020605e+05
2.966191439241976582e+02 1.383359845097477912e-03 -3.322121160536236712e+05
2.975436729592499319e+02 -6.870312723148265608e-04 -3.322121181240147562e+05
2.984776994293811185e+02 -2.407284084228648782e-03 -3.322121198442676105e+05
2.994198339288885222e+02 5.406017556334987350e-04 -3.322121168963817763e+05
3.004837863000525431e+02 -5.154487189896609853e-03 -3.322121225914707175e+05
3.015858598528287189e+02 -4.531358724704941110e-03 -3.322121219683422241e+05
3.024896663857377348e+02 -1.087323511572188973e-03 -3.322121185243070358e+05
3.035337267850352418e+02 4.104318520312464150e-03 -3.322121133326650015e+05
3.045119515578373921e+02 1.359440055597576844e-02 -3.322121038425829611e+05
3.054892557779947992e+02 -2.363203465938568028e-03 -3.322121198001869489e+05
3.065723870171440808e+02 -3.312916225857204851e-03 -3.322121207498997101e+05
3.075180705795939957e+02 -7.925155156018727151e-03 -3.322121253621386713e+05
3.084803577984950493e+02 3.823539083318192987e-03 -3.322121136134444387e+05
3.095415898740681087e+02 -1.086438746234170798e-02 -3.322121283013709472e+05
3.104895509168836725e+02 -4.251028762923346580e-04 -3.322121178620863939e+05
3.114472839189160140e+02 -1.880131722795865858e-03 -3.322121193171152263e+05
3.125285603750522228e+02 2.854624056515201423e-03 -3.322121145823594416e+05
3.135236104329426894e+02 8.205674397639738452e-03 -3.322121092313090921e+05
3.145321647667810794e+02 1.230385723143723143e-03 -3.322121162065977696e+05
3.155500009994060520e+02 -4.030146096882067548e-03 -3.322121214671296184e+05
3.165177958170572765e+02 4.312270217471652657e-03 -3.322121131247133017e+05
3.174846285306490472e+02 -7.160389816368018835e-03 -3.322121245973733021e+05
3.185176672363281227e+02 8.838363011678059683e-03 -3.322121085986205144e+05
3.195199706829814090e+02 -1.113972451427195368e-04 -3.322121175483807456e+05
3.205470688680484841e+02 1.146649097345268063e-02 -3.322121059704925283e+05
3.214399524035754325e+02 -2.969682395637214360e-03 -3.322121204066658975e+05
3.224962051498306437e+02 7.752472565168544829e-04 -3.322121166617362760e+05
3.235237240261501483e+02 -6.051327619287703158e-03 -3.322121234883111320e+05
3.244555539999942084e+02 9.064510951056325289e-03 -3.322121083724725759e+05
3.255214985469807516e+02 -1.231623256308400768e-03 -3.322121186686067376e+05
3.264610651568636968e+02 4.592417774956083034e-04 -3.322121169777417090e+05
3.274537945737932887e+02 3.387558578264595211e-03 -3.322121140494249412e+05
3.285006025567973893e+02 -1.470630044607510074e-03 -3.322121189076135634e+05
3.295990970270420348e+02 -2.030701333591285445e-03 -3.322121194676848245e+05
3.305373947411252971e+02 -2.953508792564882735e-03 -3.322121203904923168e+05
3.315443827784338851e+02 4.821041388105052304e-03 -3.322121126159421401e+05
3.324368346683562550e+02 -4.775285405456704442e-03 -3.322121222122689360e+05
3.334854715036791504e+02 3.513865384636615224e-03 -3.322121139231181005e+05
3.345037191747649672e+02 -4.072936892832520681e-03 -3.322121215099203982e+05
3.355103363011741635e+02 -8.816445557553869187e-04 -3.322121183186280541e+05
3.364178658774621908e+02 -2.197677330265666688e-03 -3.322121196346608340e+05
3.374052522720829188e+02 8.506792206918039126e-03 -3.322121089301913162e+05
3.384985564148541926e+02 -2.576722103415183575e-03 -3.322121200137056294e+05
3.394711070873119070e+02 -3.817698101938506584e-04 -3.322121178187532932e+05
3.404780892409847297e+02 -1.734231488179352335e-03 -3.322121191712149885e+05
3.414884819555534818e+02 -6.467515514010475312e-04 -3.322121180837350548e+05
3.425292686637435509e+02 -4.266188373128090676e-03 -3.322121217031718697e+05
3.435026922173838670e+02 4.627925812582862723e-03 -3.322121128090576967e+05
3.445873051396122833e+02 -2.910433771303796036e-03 -3.322121203474172507e+05
3.455438014842845860e+02 5.997640483173323663e-03 -3.322121114393430180e+05
3.464979588190714708e+02 -9.123589067409435547e-04 -3.322121183493424323e+05
3.473751363966200074e+02 6.136709617243872724e-04 -3.322121168233125354e+05
3.484683138699001574e+02 -2.954980532328287633e-03 -3.322121203919640393e+05
3.495076392113745669e+02 1.009589165344938600e-05 -3.322121174268876202e+05
3.504566196326053387e+02 -1.998322299032500443e-03 -3.322121194353058236e+05
3.515206238598024697e+02 1.985257115664572792e-03 -3.322121154517263640e+05
3.525601145426432481e+02 1.204666164186265782e-03 -3.322121162323173485e+05
3.534642785713497801e+02 -9.787157430487163166e-04 -3.322121184156992240e+05
3.543979239021626313e+02 -5.574367548290052026e-04 -3.322121179944202886e+05
